rank_GPW_30as,rank_GPW_2.5am,rank_GHS_1km,name,threelett,area,pop,pwpd_GHS_1km,pwlogpd_GHS_1km,popdens,gamma_GHS_1km,pwpd_GPW_30as,pwlogpd_GPW_30as,pwpd_GPW_2.5am,pwlogpd_GPW_2.5am,pwpd_GPW_15am,pwlogpd_GPW_15am,pwpd_GPW_30am,pwlogpd_GPW_30am,pwpd_GPW_1deg,pwlogpd_GPW_1deg
95,95,128,Ukraine,UKR,603550,42258446.46,2960.800787,7.103409723,70.01647992,0.281316309,1550.858032,5.858290672,1216.112671,5.704616547,427.6895142,5.142453194,184.3741913,4.757240772,135.6512604,4.611424923
96,130,107,Malawi,MWI,118480,17538302.03,4150.292665,6.654140922,148.0275323,0.285344404,1526.437256,6.038214684,801.3811646,5.841880798,334.0371704,5.495847702,265.7121887,5.376372337,194.329483,5.153477192
97,113,15,Burundi,BDI,27830,11201706.12,17871.47047,9.274948926,402.5047114,0.370656862,1518.418091,6.362941742,1005.424622,6.326921463,624.857605,6.237076759,428.383606,5.98464489,393.2299194,5.889432907
98,91,76,Guinea-Bissau,GNB,36130,1713966.512,6219.505822,7.876593236,47.43887384,0.46460791,1507.990967,5.131800652,1249.670532,5.082047462,367.8328857,4.845829487,50.82766724,3.836503506,61.37083054,4.109811306
99,86,140,Netherlands,NLD,41540,16705371.06,2391.329926,7.305275003,402.1514458,0.167642196,1494.173096,6.789807796,1324.053345,6.716489792,931.9818115,6.541313171,674.1246338,6.350383759,522.7817383,6.213281155
100,100,134,Republic of Serbia,SRB,88360,7016076.587,2664.659173,7.070511239,79.40331131,0.30847638,1442.169678,6.010778427,1108.688843,5.816549301,323.038269,5.098843575,209.3277435,4.934262276,129.6184387,4.607174873
101,87,87,El Salvador,SLV,21040,6045074.363,5492.629262,8.087931606,287.3134203,0.296417029,1433.223633,6.398544788,1305.977173,6.348780632,637.9916382,6.065679073,529.9037476,5.998711586,183.6213226,5.212875366
102,104,136,Netherlands,SXM,34,47234.99804,2484.323321,7.564028757,1389.264648,0.164823119,1403.801758,7.158114433,1079.463257,6.964811325,0,0,0,0,0,0
103,85,83,Gambia,GMB,11300,1864883.179,5743.995069,8.140863812,165.0339096,0.380362949,1397.582397,6.158920765,1325.735474,6.124984264,1107.764893,6.195777893,557.7611084,5.853833675,161.2507477,4.914451122
104,98,9,Djibouti,DJI,23200,522737.2505,25812.65518,9.685255389,22.53177804,0.70073202,1390.416504,5.527234554,1173.531006,5.391183376,22.28602028,2.990960121,44.10667419,3.494710445,33.67332077,3.516705751
105,89,100,Paraguay,PRY,406751.9922,6482453.571,4659.364349,7.83349812,15.93711573,0.439609915,1369.05542,5.3124547,1255.691162,5.253847122,263.2206726,4.382456303,130.9438934,4.087587833,144.6571045,4.28490591
106,132,184,United States of America,GUM,540,157806.3655,1587.822183,7.114750799,292.2340102,0.269020929,1328.734863,6.858748436,797.0844116,6.432229042,0,0,0,0,0,0
107,103,48,Guatemala,GTM,108890,16278545.4,8835.620164,8.389788039,149.49532,0.351720004,1325.264404,5.944129467,1099.040283,5.889927864,649.3147583,5.746007442,389.7121887,5.551529408,284.8305969,5.42633152
108,110,2,Cabo Verde,CPV,4030,431820.4042,50651.59778,9.42100139,107.1514651,0.741849858,1318.966675,6.065741062,1027.240234,5.935619354,289.3395691,5.418235302,360.6700134,5.887963295,0,0
109,107,129,Romania,ROU,238400,19270701.8,2859.702663,6.959047131,80.83348071,0.288012162,1313.425415,5.605991364,1040.678711,5.48235321,431.5595398,5.038081169,195.3848419,4.738570213,131.4856567,4.618832588
