rank_GHS_250m,rank_GHS_1km,rank_GPW_30as,fips_state,fips_county,county,countylong,state,stateabb,pop,landarea,popdens,pwpd_GHS_250m,pwpd_GHS_1km,pwpd_GPW_30as,pwpd_GPW_2.5as,pwlogpd_GHS_250m,pwlogpd_GHS_1km,pwlogpd_GPW_30as,pwlogpd_GPW_2.5as,gamma_GHS_250m,gamma_GHS_1km
395,222,226,39,95,Lucas,Lucas County,Ohio,OH,430800.4803,879.702815,489.7113808,2141.887695,1383.531058,1485.589478,1131.254761,7.362852097,6.979049305,7.032158375,6.80493784,0.15470739,0.153191999
396,1840,2040,13,49,Charlton,Charlton County,Georgia,GA,13121.92765,2020.415647,6.494667408,2139.427979,306.383056,268.1653442,78.37049866,6.103290081,4.911370211,4.578653336,3.815226078,0.558412625,0.50634937
397,1820,1610,40,63,Hughes,Hughes County,Oklahoma,OK,13707.02668,2083.606775,6.578509364,2138.922363,311.7217751,375.8919067,58.55903244,5.751115799,4.544631469,4.215294838,3.179749727,0.554757306,0.50489083
398,377,387,29,21,Buchanan,Buchanan County,Missouri,MO,89728.53379,1057.347849,84.86188711,2134.241455,1066.298771,1127.959961,672.1851807,7.035346508,6.48026484,6.476570129,6.006742477,0.330705859,0.363454706
399,246,235,18,89,Lake,Lake County,Indiana,IN,498517.2967,1291.857838,385.8917615,2129.657959,1325.511105,1432.349243,946.5524292,7.320365429,6.912641795,6.962364674,6.621302128,0.172260974,0.172253577
400,1629,1759,17,51,Fayette,Fayette County,Illinois,IL,22349.66187,1855.56716,12.04465263,2125.593994,358.2463865,335.6080627,94.88516235,5.743386269,4.564297997,4.308448315,3.524909258,0.50357842,0.450787227
401,1523,1767,48,255,Karnes,Karnes County,Texas,TX,14474.56042,1936.008333,7.476496961,2125.415527,385.6347598,334.4629211,109.0824432,6.183391571,5.039142485,4.709626198,3.912215471,0.547003199,0.520999802
402,435,564,72,101,Morovis,Morovis Municipio,Puerto Rico,PR,34027.45114,100.676186,337.9890766,2124.481934,1000.744673,900.2954102,429.9859314,7.249300957,6.524471076,6.412023067,5.956422329,0.249058111,0.235365882
403,238,230,46,99,Minnehaha,Minnehaha County,South Dakota,SD,174685.5578,2089.691755,83.59393549,2124.401611,1344.920547,1458.317627,966.1160889,7.286407948,6.780060492,6.805250168,6.347309589,0.307812035,0.363401197
404,417,455,48,209,Hays,Hays County,Texas,TX,197209.2643,1756.075985,112.3010997,2124.330322,1015.400626,1042.335205,452.6104431,7.016487122,6.29329341,6.096223354,5.585802555,0.287100185,0.294726662
405,276,302,48,323,Maverick,Maverick County,Texas,TX,59048.95515,3313.817729,17.81901118,2123.336426,1261.952161,1270.654541,814.0037842,7.357944012,6.83418674,6.787856102,6.317626953,0.441952474,0.52556437
406,602,633,24,45,Wicomico,Wicomico County,Maryland,MD,104981.0926,969.744608,108.2564334,2122.181641,818.0510533,837.8409424,558.3884888,6.845710278,6.074898583,6.039595604,5.725122929,0.308260714,0.294083513
407,318,303,41,5,Clackamas,Clackamas County,Oregon,OR,385518.725,4845.035564,79.56984421,2118.179932,1181.994541,1268.273926,863.4603882,7.086117268,6.588967993,6.600262642,6.255434513,0.289785009,0.317984405
408,349,366,45,19,Charleston,Charleston County,South Carolina,SC,373671.5988,2377.463289,157.1723948,2116.10791,1125.736553,1161.068481,696.3951416,7.18396616,6.615594851,6.599315166,6.220786572,0.24780803,0.253267675
409,937,1003,22,65,Madison,Madison Parish,Louisiana,LA,11364.72148,1617.200406,7.027404543,2107.873291,596.5538466,583.9902344,224.3523102,6.612012863,5.572403933,5.407447338,4.750806808,0.562564081,0.601120802
410,709,853,28,105,Oktibbeha,Oktibbeha County,Mississippi,MS,49774.3015,1186.834313,41.93871121,2103.450684,743.7594322,676.5882568,309.1275024,6.720973492,5.811752223,5.536952019,5.042481422,0.397706365,0.406200049
411,618,513,27,145,Stearns,Stearns County,Minnesota,MN,153911.7868,3477.827398,44.25515392,2101.088379,806.4918644,956.7003174,423.1967468,6.725255966,5.833387417,5.809074879,5.10436964,0.350598708,0.355980368
412,457,482,21,113,Jessamine,Jessamine County,Kentucky,KY,55092.49408,445.905563,123.5519326,2099.918701,984.1595973,1009.08905,403.2692871,7.132105827,6.353160278,6.181731701,5.658947468,0.321732735,0.340178695
413,311,310,13,51,Chatham,Chatham County,Georgia,GA,280402.7091,1121.767063,249.9651829,2097.244385,1192.463116,1245.9198,815.3602295,7.260632038,6.761090046,6.746569633,6.31289053,0.217174196,0.222487569
